title,id,release_date,overview,genres,poster_url,backdrop_url,local_poster_path,local_banner_path
The Big Short,318846,2015-12-11,The men who made millions from a global economic meltdown.,"Comedy, Drama",https://image.tmdb.org/t/p/w500/scVEaJEwP8zUix8vgmMoJJ9Nq0w.jpg,https://image.tmdb.org/t/p/w500/i7UCf0ysjbYYaqcSKUox9BJz4Kp.jpg,movie_images\posters\318846_The_Big_Short_poster.jpg,movie_images\banners\318846_The_Big_Short_banner.jpg
Coming to America,9602,1988-06-29,"An African prince decides it’s time for him to find a princess... and his mission leads him and his most loyal friend to Queens, New York. In disguise as an impoverished immigrant, the pampered prince quickly finds himself a new job, new friends, new digs, new enemies and lots of trouble.","Comedy, Romance",https://image.tmdb.org/t/p/w500/djRAvxyvvN2yqlJKDbT3uy4vOBw.jpg,https://image.tmdb.org/t/p/w500/hP4PMoQfaofHbLDPIAXrirR7wSF.jpg,movie_images\posters\9602_Coming_to_America_poster.jpg,movie_images\banners\9602_Coming_to_America_banner.jpg
Glass Onion: A Knives Out Mystery,661374,2022-11-23,World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,"Comedy, Crime, Mystery",https://image.tmdb.org/t/p/w500/vDGr1YdrlfbU9wxTOdpf3zChmv9.jpg,https://image.tmdb.org/t/p/w500/dKqa850uvbNSCaQCV4Im1XlzEtQ.jpg,movie_images\posters\661374_Glass_Onion:_A_Knives_Out_Mystery_poster.jpg,movie_images\banners\661374_Glass_Onion:_A_Knives_Out_Mystery_banner.jpg
Tombstone,11969,1993-12-25,"Legendary marshal Wyatt Earp, now a weary gunfighter, joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town.","Western, Action",https://image.tmdb.org/t/p/w500/f6Lb4bpUW2AJW42Hpnix2533RKU.jpg,https://image.tmdb.org/t/p/w500/vHPCpnpOVnbH1Shpq8TQKwo6zJB.jpg,movie_images\posters\11969_Tombstone_poster.jpg,movie_images\banners\11969_Tombstone_banner.jpg
Aquaman,297802,2018-12-07,"Half-human, half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king.","Action, Adventure, Fantasy",https://image.tmdb.org/t/p/w500/ufl63EFcc5XpByEV2Ecdw6WJZAI.jpg,https://image.tmdb.org/t/p/w500/skauHPLA4so9PqOuu3jhWmiWnFd.jpg,movie_images\posters\297802_Aquaman_poster.jpg,movie_images\banners\297802_Aquaman_banner.jpg
Barbie in the 12 Dancing Princesses,13002,2006-09-19,"King Randolph sends for his cousin, Duchess Rowena, to help turn his daughters, Princess Genevieve and her eleven sisters, into royal material. But the Duchess strips the sisters of their fun, including their favorite pastime: dancing. When all hope may be lost, the sisters discover a secret passageway to a magical land where they can dance the night away.","Animation, Family",https://image.tmdb.org/t/p/w500/yBB7PwXRFJ29U8m8SnTcWVizFvM.jpg,https://image.tmdb.org/t/p/w500/v5xXTpfMT5NpjQeDMNYNLflaiuA.jpg,movie_images\posters\13002_Barbie_in_the_12_Dancing_Princesses_poster.jpg,movie_images\banners\13002_Barbie_in_the_12_Dancing_Princesses_banner.jpg
In the Mood for Love,843,2000-09-29,"In 1962 Hong Kong, two neighbors form a strong bond after both suspect extramarital activities of their spouses.","Drama, Romance",https://image.tmdb.org/t/p/w500/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg,https://image.tmdb.org/t/p/w500/gx3Iat10dc39XbDwbmdfKPsow3U.jpg,movie_images\posters\843_In_the_Mood_for_Love_poster.jpg,movie_images\banners\843_In_the_Mood_for_Love_banner.jpg
Hocus Pocus 2,642885,2022-09-27,"29 years since the Black Flame Candle was last lit, the 17th-century Sanderson sisters are resurrected, and they are looking for revenge. Now it's up to three high school students to stop the ravenous witches from wreaking a new kind of havoc on Salem before dawn on All Hallow's Eve.","Fantasy, Comedy, Family",https://image.tmdb.org/t/p/w500/7ze7YNmUaX81ufctGqt0AgHxRtL.jpg,https://image.tmdb.org/t/p/w500/ml8YBTJq7UkALfI022FWscCQuQW.jpg,movie_images\posters\642885_Hocus_Pocus_2_poster.jpg,movie_images\banners\642885_Hocus_Pocus_2_banner.jpg
Hitman's Wife's Bodyguard,522931,2021-06-14,"The world’s most lethal odd couple – bodyguard Michael Bryce and hitman Darius Kincaid – are back on another life-threatening mission. Still unlicensed and under scrutiny, Bryce is forced into action by Darius's even more volatile wife, the infamous international con artist Sonia Kincaid. As Bryce is driven over the edge by his two most dangerous protectees, the trio get in over their heads in a global plot and soon find that they are all that stand between Europe and a vengeful and powerful madman.","Action, Comedy, Crime, Thriller",https://image.tmdb.org/t/p/w500/6zwGWDpY8Zu0L6W4SYWERBR8Msw.jpg,https://image.tmdb.org/t/p/w500/bjIPzixuWnOzxDG25WaXKuy9lYZ.jpg,movie_images\posters\522931_Hitman's_Wife's_Bodyguard_poster.jpg,movie_images\banners\522931_Hitman's_Wife's_Bodyguard_banner.jpg
Platoon,792,1986-12-19,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.","Drama, War, Action",https://image.tmdb.org/t/p/w500/m3mmFkPQKvPZq5exmh0bDuXlD9T.jpg,https://image.tmdb.org/t/p/w500/wjt1dwtabVm9vujAteDTnXnpHfZ.jpg,movie_images\posters\792_Platoon_poster.jpg,movie_images\banners\792_Platoon_banner.jpg
